37  1735173976  19.954038
15  1735173976  19.954038
21  1735173976  19.954038
142  1735173976  19.954038
132  1735173976  19.954038
15  1735173977  19.725673
37  1735173978  19.725673
15  1735173978  19.932807
21  1735173979  19.725673
142  1735173979  19.725673
132  1735173979  19.725673
15  1735173979  20.046634
37  1735173980  19.932807
15  1735173980  19.848942
15  1735173981  20.042509
21  1735173982  19.932807
37  1735173982  20.046634
132  1735173982  19.932807
142  1735173982  19.932807
15  1735173982  19.962585
15  1735173983  19.726384
37  1735173984  19.848942
15  1735173984  19.889112
21  1735173985  20.046634
142  1735173985  20.046634
132  1735173985  20.046634
15  1735173985  19.782537
37  1735173986  20.042509
15  1735173986  19.786334
15  1735173987  19.680022
