1 0.001000 1731941503
2 0.002000 1731941503
3 0.003000 1731941503
4 0.003000 1731941503
1 0.001000 1731941503
2 0.002000 1731941503
3 0.003000 1731941503
4 0.003000 1731941503
1 0.001000 1731941513
2 0.002000 1731941513
3 0.003000 1731941513
4 0.003000 1731941513
1 0.001000 1731941513
2 0.002000 1731941513
3 0.003000 1731941513
4 0.003000 1731941513
1 0.001000 1732028937
2 0.002000 1732028937
3 0.003000 1732028937
4 0.003000 1732028937
1 0.001000 1732028965
2 0.002000 1732028965
3 0.003000 1732028965
4 0.003000 1732028965
1 0.001000 1732029000
2 0.002000 1732029000
3 0.003000 1732029000
4 0.003000 1732029000
1 0.001000 1732029039
2 0.002000 1732029039
3 0.003000 1732029039
4 0.003000 1732029039
1 0.001000 1732029184
2 0.002000 1732029184
3 0.003000 1732029184
4 0.003000 1732029184
1 0.001000 1732029218
2 0.002000 1732029218
3 0.003000 1732029218
4 0.003000 1732029218
1 0.001000 1732029230
2 0.002000 1732029230
3 0.003000 1732029230
4 0.003000 1732029230
1 0.001000 1732029747
2 0.002000 1732029747
3 0.003000 1732029747
4 0.003000 1732029747
1 0.001000 1732029756
2 0.002000 1732029756
3 0.003000 1732029756
4 0.003000 1732029756
1 0.001000 1732038662
2 0.002000 1732038662
3 0.003000 1732038662
4 0.003000 1732038662
test
test
test
test
test
test
test
test
test
test
test
test
